1,42
2,42
3,42
4,42
5,42
6,42
7,42
8,42
9,42
10,42
11,42
12,42
13,41
14,43
15,45
16,46
17,47
18,47
19,47
20,48
21,47
22,48
23,47
24,47
25,47
26,47
27,47
28,47
29,47
30,48
31,48
32,48
33,48
34,47
35,48
36,48
37,48
38,48
39,48
40,47
41,48
42,48
43,48
44,48
45,47
46,48
47,48
48,48
49,48
50,48
51,48
52,48
53,48
54,48
55,47
56,47
57,45
58,42
59,39
60,34
61,30
62,25
63,21
64,15
65,11
66,8
67,6
68,4
69,3
70,2
71,2
72,2
73,2
74,2
75,2
76,2
77,2
78,2
79,3
80,4
81,5
82,7
83,9
84,12
85,15
86,18
87,22
88,26
89,29
90,31
91,32
92,31
93,29
94,25
95,22
96,19
97,16
98,13
99,12
100,12
101,13
102,14
103,17
104,21
105,24
106,27
107,31
108,32
109,32
110,30
111,27
112,23
113,19
114,16
115,13
116,12
117,12
118,13
119,15
120,17
121,21
122,26
123,31
124,35
125,38
126,40
127,40
128,43
129,43
130,44
131,44
132,44
133,44
134,44
135,43
136,43
137,43
138,42
139,42
140,39
141,36
142,33
143,31
144,27
145,25
146,19
147,18
148,14
149,13
150,13
151,13
152,15
153,18
154,21
155,24
156,28
157,31
158,32
159,32
160,31
161,30
162,26
163,22
164,19
165,16
166,12
167,9
168,7
169,4
170,4
171,3
172,2
173,2
174,2
175,2
176,2
177,2
178,2
179,2
180,2
181,2
182,4
183,4
184,9
185,11
186,17
187,23
188,29
189,35
190,41
191,46
192,49
193,53
194,55
195,56
196,56
197,57
198,57
199,57
200,56
